"strain","resistance","UMAP01","UMAP02","UMAP03","UMAP04","UMAP05","UMAP06","UMAP07","UMAP08","UMAP09","UMAP10"
"DA63012","HR",-1.13724768161774,-10.8695955276489,1.98746466636658,0.157119244337082,1.99760985374451,-4.7119026184082,-0.34601628780365,0.421082764863968,-4.37679815292358,6.87242031097412
"DA63014","nonHR",-6.8469877243042,1.51423251628876,-3.50074672698975,1.98049509525299,0.19030736386776,1.01838195323944,0.895930647850037,1.86848795413971,1.53342092037201,-3.7436740398407
"DA63016","nonHR",-5.93592834472656,1.75808203220367,-3.13296842575073,1.22509777545929,-0.0306391585618258,1.13492095470428,1.33448791503906,1.612877368927,1.49882996082306,-3.51357102394104
"DA63020","nonHR",-4.39061975479126,1.54198467731476,-2.98175716400146,1.07630348205566,-0.292132556438446,1.46829342842102,1.22884178161621,1.28826820850372,1.09152936935425,-3.5060031414032
"DA63022","nonHR",-4.78090810775757,1.23249197006226,-2.86219334602356,0.318184405565262,-1.15602004528046,1.09519720077515,1.5121511220932,0.451628237962723,1.25212502479553,-3.45607113838196
"DA63024","nonHR",-6.24301767349243,0.943736016750336,-3.54250979423523,1.16857016086578,-0.646086096763611,0.984551846981049,1.23229646682739,1.14247345924377,1.46100211143494,-3.92782711982727
"DA63026","nonHR",3.46179485321045,2.91682267189026,0.86373907327652,-1.38165855407715,-0.114431150257587,0.71205335855484,-0.698673188686371,-1.09096145629883,1.42695927619934,0.27670419216156
"DA63028","nonHR",-4.26040124893188,1.66496336460114,-3.19707441329956,1.34769189357758,0.229720622301102,1.73416340351105,1.04376411437988,1.76275253295898,0.95221334695816,-3.65314841270447
"DA63030","HR",2.87799525260925,2.35818099975586,0.904334723949432,-1.23052144050598,-0.319782733917236,0.782538592815399,-0.267309248447418,-0.92475551366806,1.34680426120758,0.419349044561386
"DA63032","nonHR",3.03384637832642,2.63694763183594,1.02628123760223,-1.38122284412384,-0.505275547504425,1.05418694019318,-0.0420893765985966,-1.33999240398407,1.06894028186798,0.335877418518066
"DA63034","nonHR",6.50223112106323,2.45444440841675,2.86570501327515,-2.29557108879089,0.880724608898163,1.25217819213867,-1.93072140216827,-1.02730512619019,0.385333359241486,0.483264893293381
"DA63036","nonHR",-4.4994740486145,1.07104575634003,-2.83260107040405,0.612143993377686,-1.03543627262115,1.14471256732941,1.30538654327393,0.541469514369965,1.28126966953278,-4.24035978317261
"DA63038","HR",-6.3217453956604,1.16345870494843,-3.42755174636841,1.98193550109863,0.379862368106842,1.1867288351059,0.882093548774719,2.16682076454163,1.40136396884918,-3.67671823501587
"DA63040","HR",-5.50858497619629,2.05711770057678,-2.70803880691528,1.37531459331512,0.069706529378891,1.16115379333496,1.19941592216492,1.44302177429199,1.31676173210144,-3.7408881187439
"DA63042","nonHR",-5.1970009803772,0.916369915008545,-2.86758494377136,0.542255997657776,-1.23869967460632,0.831838488578796,1.29072320461273,0.400852680206299,1.5487494468689,-4.60250997543335
"DA63044","nonHR",-6.20751333236694,0.627869963645935,-3.51841998100281,1.29401254653931,-0.648009479045868,1.03864204883575,1.11933362483978,0.994399547576904,1.50865042209625,-4.33841037750244
"DA63046","HR",-0.476789027452469,-8.71406173706055,2.20548510551453,-0.385857403278351,1.6953125,-3.52978420257568,-0.586539208889008,0.219438299536705,-3.21384406089783,5.52008533477783
"DA63048","HR",-1.37621593475342,-11.1918611526489,2.3848705291748,0.173792883753777,1.8777756690979,-4.8493595123291,-0.35885363817215,0.29092064499855,-4.20818471908569,6.84834480285645
"DA63050","nonHR",-6.60916614532471,0.800633192062378,-3.71939396858215,2.11612510681152,-0.0531182251870632,1.09715533256531,0.79701441526413,1.52117645740509,1.50956869125366,-4.35971164703369
"DA63052","nonHR",3.39651012420654,2.52970862388611,1.23169708251953,-1.48440372943878,-0.3395636677742,0.975420951843262,-0.273364245891571,-1.03452515602112,0.981176555156708,-0.0217240080237389
"DA63054","nonHR",2.95501685142517,2.51232171058655,0.8265740275383,-1.14911282062531,-0.49797859787941,0.825056791305542,-0.290401130914688,-0.828651905059814,1.62088334560394,0.201069355010986
"DA63056","nonHR",-5.20226430892944,0.746116518974304,-3.01936364173889,0.551386177539825,-1.24016654491425,0.937654972076416,1.28310036659241,0.340750068426132,1.52954149246216,-4.70834493637085
"DA63058","nonHR",3.53266215324402,2.6591489315033,1.28003513813019,-1.46891939640045,-0.489912122488022,0.911273598670959,-0.197721496224403,-1.20817863941193,0.963713049888611,0.0581261292099953
"DA63060","nonHR",-5.87452125549316,2.09936118125916,-2.81415963172913,1.18022739887238,0.0299214627593756,1.13284182548523,1.27025079727173,1.56282985210419,1.40528333187103,-3.35141253471375
"DA63062","nonHR",8.04606819152832,5.42364168167114,4.30767345428467,0.523752689361572,-2.41168594360352,-0.741920173168182,-0.908578872680664,-3.09210085868835,-0.295837998390198,3.29604291915894
"DA63064","nonHR",-5.28466320037842,1.91001689434052,-2.70222139358521,1.01089823246002,-0.222538873553276,1.20207965373993,1.33000779151917,1.22801721096039,1.29225754737854,-3.70903468132019
"DA63066","nonHR",-5.12886381149292,0.683021426200867,-3.06488418579102,0.576035380363464,-1.23523271083832,0.952837824821472,1.23812532424927,0.334676504135132,1.44675421714783,-4.73071193695068
"DA63068","nonHR",5.79802370071411,2.55554533004761,2.02662801742554,-2.45519375801086,0.777194857597351,1.3760404586792,-1.28960454463959,-0.803142607212067,0.372848212718964,0.18857578933239
"DA63072","HR",-6.75868225097656,1.60993874073029,-3.33984279632568,1.88652503490448,0.425052404403687,1.11481726169586,0.949462652206421,2.04374957084656,1.36336755752563,-3.61367774009705
"DA63074","nonHR",-5.2603874206543,0.745055377483368,-3.06286764144897,0.651300430297852,-1.1320732831955,0.928089618682861,1.23530602455139,0.609041154384613,1.32455670833588,-4.48775053024292
"DA63078","nonHR",6.32912349700928,2.46850895881653,2.34452128410339,-2.07287502288818,0.624795377254486,1.35372495651245,-1.85756027698517,-0.855055153369904,0.346840381622314,0.0462268739938736
"DA63080","nonHR",4.17872285842896,2.70443916320801,1.34441232681274,-1.72699177265167,-0.110619753599167,1.13491773605347,-0.685407280921936,-1.11466431617737,1.10301446914673,0.00510158482939005
"DA63082","HR",1.96578288078308,-6.16249132156372,1.79491877555847,-0.354518949985504,1.32150030136108,-2.59413862228394,-0.58464115858078,0.0175839364528656,-2.20591354370117,4.82950687408447
"DA63084","nonHR",-5.8408408164978,0.951588690280914,-3.43052387237549,0.926411807537079,-0.688822567462921,1.15782582759857,1.43994033336639,1.07012820243835,1.30186414718628,-3.7721700668335
"DA63088","nonHR",-4.4260106086731,1.76354563236237,-3.03348994255066,1.52971541881561,0.18886125087738,1.4540011882782,1.2130538225174,1.63581192493439,1.01072859764099,-3.71755599975586
"DA63090","nonHR",8.11391544342041,5.11063194274902,4.05314254760742,0.565283238887787,-2.28356218338013,-1.15596878528595,-0.669755578041077,-3.06757164001465,-0.409566462039948,3.38560128211975
"DA63092","nonHR",6.54113292694092,2.29724907875061,2.49873685836792,-2.25803732872009,0.88011234998703,1.24723720550537,-1.92504644393921,-0.656355619430542,0.236316621303558,0.234666481614113
"DA63094","nonHR",-5.70186042785645,1.53563976287842,-3.36533856391907,1.8241708278656,0.194491654634476,1.36495101451874,0.993274092674255,1.85009574890137,1.3615038394928,-3.9547164440155
"DA63096","nonHR",6.11513662338257,2.34560179710388,2.23286890983582,-2.57061362266541,0.716738164424896,1.51661002635956,-1.25635612010956,-0.548569977283478,0.441758930683136,0.604409456253052
"DA63100","nonHR",-4.88729333877563,1.07588744163513,-3.20452570915222,1.18484103679657,-0.404036194086075,1.43860960006714,1.19344913959503,1.26651930809021,1.25632870197296,-4.21674585342407
"DA63102","nonHR",-4.60990190505981,1.39649975299835,-3.23551940917969,1.86552000045776,0.146516501903534,1.56603920459747,0.99477344751358,1.64350402355194,1.1706155538559,-3.87911248207092
"DA63104","nonHR",5.8993182182312,2.31102252006531,2.58008074760437,-2.52228879928589,0.793477594852448,1.4952164888382,-1.40490853786469,-0.895928919315338,0.617994368076324,0.383186042308807
"DA63106","HR",2.79482197761536,2.44907212257385,0.931111216545105,-1.42004680633545,-0.351140230894089,1.03312873840332,-0.0863769948482513,-1.20008707046509,0.942952990531921,0.21172884106636
"DA63108","nonHR",6.68529844284058,2.52798271179199,2.16199421882629,-2.1907913684845,0.70273232460022,1.16840791702271,-1.94536125659943,-0.513360977172852,-0.0333366058766842,0.326005578041077
"DA63110","nonHR",-5.29304218292236,0.836968123912811,-2.89727973937988,0.597714364528656,-1.17574489116669,0.771870911121368,1.40724635124207,0.588841319084167,1.6026736497879,-4.60307359695435
"DA63112","nonHR",-5.94505929946899,2.20629382133484,-2.77188992500305,1.13966035842896,-0.0339668989181519,1.06820094585419,1.17163109779358,1.71530437469482,1.49811100959778,-3.18322658538818
"DA63114","nonHR",2.94900870323181,2.50636577606201,0.88877260684967,-1.23056793212891,-0.41770800948143,0.917681336402893,-0.145192518830299,-1.02683937549591,1.54006278514862,0.343017816543579
"DA63118","nonHR",6.28667211532593,2.29506158828735,2.28093671798706,-2.49995970726013,0.799822628498077,1.423020362854,-1.46627080440521,-0.496851980686188,0.3269003033638,0.504781544208527
"DA63120","nonHR",2.6714506149292,2.43590521812439,0.798699140548706,-1.34474503993988,-0.364988088607788,1.00276505947113,-0.0123225087299943,-1.11184310913086,1.32691323757172,0.201862335205078
"DA63122","HR",1.63900792598724,-1.70904493331909,1.29325616359711,-0.941969811916351,0.438520461320877,-0.801467835903168,-0.316107362508774,-0.586288869380951,-0.53032261133194,2.24373412132263
"DA63124","nonHR",-4.98840188980103,1.44424080848694,-2.59945344924927,0.616087794303894,-0.919582962989807,0.909986793994904,1.25684416294098,0.577254354953766,1.40231716632843,-4.11041879653931
"DA63126","HR",-4.79093742370605,1.355748295784,-3.20564579963684,2.04510426521301,0.363622009754181,1.41311573982239,0.888270199298859,1.8923614025116,1.21002769470215,-3.42664813995361
"DA63128","nonHR",-6.18139886856079,1.71942281723022,-3.03487038612366,1.24260699748993,-0.194165453314781,1.03308439254761,1.22430372238159,1.33876168727875,1.47247314453125,-3.88858151435852
"DA63130","nonHR",2.72725176811218,2.7132203578949,0.594475924968719,-1.17610096931458,-0.590852737426758,0.851593315601349,-0.186211347579956,-0.949571013450623,1.47449231147766,-0.0759714469313622
"DA63134","nonHR",5.75464200973511,2.67544412612915,1.97737348079681,-2.53731346130371,0.556457221508026,1.5197536945343,-1.17548954486847,-0.81210470199585,0.377454191446304,0.423482418060303
"DA63136","nonHR",6.6869649887085,3.1105523109436,1.91006743907928,-2.42383527755737,0.435621708631516,1.46681356430054,-1.74570786952972,-0.836660623550415,-0.0390587113797665,0.569912075996399
"DA63138","HR",-6.42747831344604,1.49052941799164,-3.42202854156494,1.95505964756012,0.410259783267975,1.07619452476501,0.905330836772919,2.11979365348816,1.44123268127441,-3.61586332321167
"DA63140","nonHR",6.79149913787842,2.50322389602661,2.5383768081665,-2.30255913734436,0.602516531944275,1.32578992843628,-1.78076457977295,-0.626742541790009,0.276821881532669,0.681525528430939
"DA63142","nonHR",2.9316258430481,2.56022667884827,0.886174499988556,-1.2705055475235,-0.487596362829208,0.950588762760162,-0.0602904260158539,-1.19537568092346,1.35242259502411,0.43814879655838
"DA63144","HR",5.685218334198,2.72419095039368,1.91575026512146,-2.51058149337769,0.426395177841187,1.54588663578033,-0.974188685417175,-0.970679640769958,0.352122008800507,0.615177273750305
"DA63146","HR",3.15005040168762,2.42854404449463,1.08802473545074,-1.52704739570618,-0.263245642185211,0.943838953971863,-0.301930487155914,-1.15663254261017,0.887413322925568,0.265529811382294
"DA63148","nonHR",-5.5672664642334,1.88446378707886,-2.80485367774963,1.26468467712402,-0.0488826595246792,1.26339364051819,1.2176775932312,1.43459212779999,1.33217549324036,-3.82068228721619
"DA63150","HR",-4.13817024230957,1.3088219165802,-2.99902629852295,1.05294060707092,0.0215343963354826,1.77056336402893,1.21976506710052,1.75419819355011,0.864218592643738,-3.46629095077515
"DA63152","nonHR",2.98291420936584,2.60438299179077,0.997187793254852,-1.44612812995911,-0.366560399532318,1.08258724212646,-0.0557090789079666,-1.30972039699554,0.999757647514343,0.299782037734985
"DA63154","nonHR",6.02723073959351,3.01930069923401,1.81011414527893,-2.43342351913452,0.220411986112595,1.55195569992065,-1.16533744335175,-0.880029559135437,0.153686955571175,0.574992179870605
"DA63156","nonHR",8.16128540039062,5.43817234039307,4.37105798721313,0.760399043560028,-2.70059704780579,-0.96693629026413,-0.812239587306976,-3.23139047622681,-0.396548360586166,3.40974617004395
"DA63158","nonHR",-5.17919540405273,1.74479258060455,-2.81205987930298,1.06802701950073,-0.179627671837807,1.35147535800934,1.32631528377533,1.32779741287231,1.2539097070694,-3.89838576316833
"DA63160","HR",-4.3228497505188,1.23564863204956,-3.23576331138611,1.31450390815735,-0.010072585195303,1.82811605930328,1.01193594932556,1.83492171764374,1.03338849544525,-4.01392030715942
"DA63162","nonHR",-4.19804286956787,1.72996735572815,-3.1014621257782,1.44379913806915,0.130412191152573,1.7054306268692,1.14988887310028,1.74776601791382,1.03528356552124,-3.54613375663757
"DA63164","HR",6.2390022277832,2.45199227333069,2.98780822753906,-2.15570306777954,0.863693118095398,1.08065366744995,-1.88221502304077,-1.22446966171265,0.413559168577194,0.590429902076721
"DA63166","nonHR",6.22503757476807,2.53650999069214,2.29410195350647,-2.0689971446991,0.670402228832245,1.32186710834503,-1.90750622749329,-0.904699385166168,0.204338982701302,-0.0499338731169701
"DA63168","nonHR",-4.27547359466553,1.69363594055176,-3.16264605522156,1.45346033573151,0.0827026963233948,1.75251424312592,1.14180552959442,1.82032132148743,1.03315997123718,-3.6191234588623
"DA63170","nonHR",-4.56726312637329,1.59677147865295,-2.70109415054321,0.698218405246735,-0.68581748008728,1.13800394535065,1.37649881839752,0.815160274505615,1.24782168865204,-3.88320326805115
"DA63172","nonHR",7.36765480041504,4.61212491989136,4.17608976364136,0.325470358133316,-2.12804508209229,-0.879558622837067,-0.592828810214996,-2.60978722572327,-0.42517477273941,2.79628229141235
"DA63174","nonHR",-5.60080003738403,1.06052041053772,-2.94152069091797,0.729264616966248,-0.941663265228271,0.911466479301453,1.22701573371887,0.603919565677643,1.50721752643585,-4.45604372024536
"DA63176","nonHR",5.91275119781494,2.61933040618896,2.16464114189148,-2.55924916267395,0.535459041595459,1.59737300872803,-1.14693367481232,-0.809556007385254,0.414965748786926,0.608878910541534
"DA63178","nonHR",2.12630486488342,2.4587185382843,0.442298382520676,-1.14367294311523,-0.518526673316956,0.945781469345093,0.0090287309139967,-0.809174597263336,1.04406309127808,-0.29853281378746
"DA63180","HR",5.85699319839478,2.40649223327637,2.55334115028381,-2.46165823936462,0.586242437362671,1.41146719455719,-1.30393207073212,-1.13416230678558,0.512467384338379,0.709548890590668
"DA63182","HR",-1.13064169883728,-10.8525066375732,1.95474600791931,0.192447021603584,1.99785816669464,-4.66507244110107,-0.421149998903275,0.385474771261215,-4.42476844787598,6.87237930297852
"DA63184","nonHR",5.68880128860474,2.25782346725464,2.36854410171509,-2.46996808052063,0.871221303939819,1.45568180084229,-1.31852090358734,-0.728868842124939,0.619464576244354,0.387318283319473
