"strain","resistance","UMAP1","UMAP2","UMAP3","UMAP4","UMAP5","UMAP6","UMAP7","UMAP8"
"DA63148","nonHR",9.93500709533691,-1.76900494098663,0.538795292377472,-0.158134460449219,-1.76638340950012,0.0549240484833717,-0.473707497119904,-0.34316486120224
"DA63150","HR",8.79316902160645,-1.52680158615112,0.480547517538071,0.217962726950645,-1.37826561927795,0.619167566299438,-0.810370206832886,-1.07921707630157
"DA63152","nonHR",5.94658803939819,-0.49781933426857,-0.00210497714579105,-0.275192260742188,-1.25447642803192,-0.719763338565826,0.289051443338394,-0.396847009658813
"DA63154","nonHR",-16.9751853942871,-2.2426905632019,-2.04225778579712,1.39020621776581,4.052565574646,-1.06081664562225,-0.0305062681436539,1.97236132621765
"DA63156","nonHR",-10.9834365844727,0.942022085189819,-3.29071736335754,-3.40772271156311,2.73913669586182,-0.86251026391983,-0.372121214866638,3.11459231376648
"DA63158","nonHR",9.65805244445801,-2.02377128601074,0.666596591472626,0.310709923505783,-1.52268016338348,0.0525764338672161,-0.961108922958374,-0.552978456020355
"DA63160","HR",9.18441486358643,-1.62354123592377,0.640892565250397,0.164151102304459,-1.60505568981171,1.16412127017975,-1.24248492717743,-0.862636864185333
"DA63162","nonHR",9.09405422210693,-1.67890846729279,0.424890011548996,-0.0611835196614265,-1.42329812049866,0.883794605731964,-0.811535716056824,-1.08921575546265
"DA63164","HR",-16.1888999938965,-2.24268889427185,-0.981051385402679,1.16843104362488,4.22205924987793,-0.444823294878006,0.703286588191986,2.80578851699829
"DA63166","nonHR",-16.6910152435303,-2.46507596969604,-1.57462322711945,1.681764960289,3.78104090690613,-0.627481818199158,0.257057040929794,2.78647661209106
"DA63168","nonHR",9.0509786605835,-1.60065507888794,0.234505474567413,-0.170818418264389,-1.58903121948242,0.880731225013733,-0.88701057434082,-0.926633179187775
"DA63170","nonHR",10.1544904708862,-2.4119770526886,0.865835845470428,-0.12316619604826,-0.85566657781601,0.274268358945847,-0.916612803936005,-1.22100520133972
"DA63172","nonHR",-11.263277053833,0.64510190486908,-2.95613813400269,-2.13810896873474,2.2776083946228,-0.882443785667419,-0.294339418411255,2.69317102432251
