"strain","sulfonamide.resistant.sul","TEM.beta.lactamase","ampC.type.beta.lactamase","APH3","trimethoprim.resistant.dihydrofolate.reductase.dfr","streptothricin.acetyltransferase.SAT","ANT3","CTX.M.beta.lactamase","chloramphenicol.acetyltransferase.CAT","AAC3","AAC6.Ib.cr","OXA.beta.lactamase","ANT2","fosfomycin.thiol.transferase","SHV.beta.lactamase","tetracycline.resistant.ribosomal.protection.protein","APH6","macrolide.phosphotransferase.MPH","quinolone.resistance.protein.qnr"
"DA63294",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63296",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63298",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA63300",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63302",1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"DA63304",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63306",2,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"DA63312",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63314",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63316",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63318",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63320",1,1,1,1,1,0,0,2,0,1,1,1,0,0,0,0,1,0,0
"DA63322",1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DA63324",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63326",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63328",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63330",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63334",2,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"DA63336",1,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"DA63338",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63342",1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
"DA63344",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63348",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63350",2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"DA63352",1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"DA63354",2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"DA63356",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63358",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63360",1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63362",1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DA63364",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63366",0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"DA63368",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63370",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63372",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63374",1,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"DA63376",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63378",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63380",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63382",2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63384",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63568",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63570",1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63572",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63574",1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"DA63576",1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"DA63578",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63580",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63582",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63584",1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63586",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63588",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63590",1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63592",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63594",2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"DA63596",2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"DA63598",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63600",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63602",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63606",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63608",1,1,3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"DA63610",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63612",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63614",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63616",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63618",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63620",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63622",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63624",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63626",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63628",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63630",2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63632",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63634",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63636",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63638",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63640",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63642",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63644",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63646",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63648",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA63650",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63652",4,2,3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0
"DA63654",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA63656",2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
