"strain","ampC","DFR","APH6","APH3.1","SUL","TEM","SAT","ANT3","MPH","APH3.2","CTX.M","CAT","AAC3","OXA","AAC6","ANT2","FTT","SHV","TR.RPP","APH4","QNR"
"DA63098",2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"DA63100",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63102",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63104",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"DA63106",3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63108",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63110",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63112",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63114",2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63116",3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"DA63118",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63120",3,1,1,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63122",3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63124",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63126",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63128",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63130",3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DA63134",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63136",2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63138",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63140",2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63142",3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63144",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63146",2,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"DA63148",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63150",1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0
"DA63152",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63154",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63156",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63158",1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"DA63160",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63162",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63166",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63168",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63170",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63172",3,1,1,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"DA63174",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63176",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63178",3,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63182",2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63184",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63186",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63188",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63190",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63192",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63194",2,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"DA63196",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63198",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DA63200",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63202",1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0
"DA63204",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63206",3,1,1,1,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"DA63210",2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63212",3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63214",3,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"DA63216",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63218",3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63220",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63222",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63224",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63226",2,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"DA63228",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63230",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63232",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63234",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
