"strain","resistance","UMAP1","UMAP2","UMAP3","prediction"
"DA63180","HR",13.4862947463989,-4.70588541030884,-3.19238018989563,"FN"
"DA63182","HR",-1.89630007743835,10.1842164993286,-9.17847061157227,"COR"
"DA63184","nonHR",12.8705444335938,-3.92279243469238,-3.96783971786499,"COR"
"DA63186","HR",-9.66351127624512,-1.08972477912903,6.77298402786255,"COR"
"DA63188","nonHR",-7.73894834518433,-0.635858476161957,5.2684268951416,"COR"
"DA63190","nonHR",-9.41304397583008,-1.54857993125916,5.56265926361084,"COR"
"DA63192","nonHR",-7.46763944625854,-0.964134514331818,5.82304668426514,"COR"
"DA63194","nonHR",-5.34367609024048,-2.24731087684631,0.983700037002563,"FP"
"DA63196","nonHR",-8.3287410736084,-1.67272639274597,4.75057315826416,"COR"
"DA63198","nonHR",13.2630186080933,-5.46248960494995,-3.56806373596191,"COR"
"DA63200","nonHR",13.8659744262695,3.42188215255737,-1.71234464645386,"COR"
"DA63202","HR",-2.29899787902832,8.48132038116455,-7.08246278762817,"COR"
"DA63204","nonHR",-7.84779405593872,-3.0324535369873,5.78937864303589,"COR"
"DA63210","HR",-2.27619552612305,10.0463962554932,-9.33658313751221,"COR"
"DA63214","HR",4.15918636322021,2.42914915084839,-5.19341325759888,"COR"
"DA63216","nonHR",12.905219078064,-5.63640642166138,-3.90631866455078,"COR"
"DA63218","nonHR",-4.82542276382446,-2.50396990776062,2.00128746032715,"COR"
"DA63220","nonHR",-7.24947500228882,-0.561520338058472,5.30666542053223,"COR"
"DA63222","nonHR",-7.93236780166626,-0.825625658035278,5.28370523452759,"COR"
"DA63224","nonHR",-9.38251686096191,-1.6005871295929,6.64522409439087,"COR"
"DA63226","nonHR",-5.26895761489868,-2.36263942718506,0.899613559246063,"COR"
"DA63228","nonHR",-7.60174989700317,-2.75588846206665,6.47317600250244,"COR"
"DA63230","nonHR",-5.39681482315063,-1.56558632850647,1.02974033355713,"COR"
"DA63232","nonHR",13.0304346084595,-3.95894932746887,-4.31543064117432,"COR"
"DA63234","nonHR",-9.65182590484619,-1.50296425819397,6.53937244415283,"COR"
"DA63236","nonHR",12.2042770385742,-4.46414756774902,-3.6737904548645,"COR"
"DA63238","nonHR",-7.24213600158691,-2.58407378196716,4.82362270355225,"COR"
"DA63240","nonHR",-9.23026466369629,-1.40666675567627,6.78016471862793,"COR"
"DA63242","nonHR",-7.90339660644531,-0.863850235939026,6.06546831130981,"COR"
"DA63244","nonHR",12.9530086517334,-5.03821611404419,-4.65026664733887,"COR"
"DA63246","nonHR",12.9803905487061,-5.67442274093628,-4.17053031921387,"COR"
"DA63248","nonHR",-5.82218647003174,-1.77389371395111,1.20470893383026,"COR"
"DA63250","nonHR",-7.3876166343689,-0.545456647872925,5.27675819396973,"COR"
"DA63252","HR",-1.30227100849152,9.15219974517822,-9.31247138977051,"COR"
"DA63254","HR",-6.86893844604492,-2.27779912948608,5.35209226608276,"FN"
"DA63256","nonHR",-9.40819454193115,-1.24921834468842,6.71515417098999,"COR"
"DA63258","nonHR",-9.63911056518555,-1.45099794864655,5.8449854850769,"COR"
"DA63260","nonHR",13.8848075866699,3.24288821220398,-1.87663590908051,"COR"
"DA63262","nonHR",-6.22986459732056,-1.58785164356232,2.18679213523865,"COR"
"DA63264","HR",-5.53325176239014,-1.69509148597717,0.856650710105896,"COR"
"DA63266","HR",-8.77433586120605,-1.80066585540771,4.50782155990601,"COR"
"DA63268","nonHR",-8.40866661071777,-1.11933195590973,6.17284822463989,"COR"
"DA63270","nonHR",-8.37347316741943,-1.15098369121552,5.05521488189697,"COR"
"DA63272","nonHR",-7.2901029586792,-1.96961808204651,6.30269384384155,"COR"
"DA63274","nonHR",-4.43993759155273,-2.6650013923645,1.62171959877014,"COR"
"DA63276","nonHR",-9.44674587249756,-0.829018831253052,6.45583868026733,"COR"
"DA63278","nonHR",12.7429256439209,-4.73718929290771,-4.41504859924316,"COR"
"DA63282","nonHR",14.1487874984741,-4.81680488586426,-4.34716463088989,"COR"
"DA63284","nonHR",13.7235412597656,2.90476512908936,-1.42003452777863,"COR"
"DA63286","nonHR",13.8495054244995,-5.1761999130249,-4.50415277481079,"COR"
"DA63288","nonHR",13.6361608505249,3.40130591392517,-1.69847285747528,"COR"
"DA63290","nonHR",-8.68138027191162,-1.65577292442322,6.21280956268311,"COR"
"DA63292","nonHR",-7.42941999435425,-0.937480926513672,4.81163883209229,"COR"
"DA63294","nonHR",-9.51990509033203,-1.469522356987,5.77247285842896,"COR"
"DA63296","nonHR",-7.77914476394653,-2.47800803184509,5.37972688674927,"COR"
"DA63300","nonHR",-7.31257629394531,-3.1732485294342,4.94812154769897,"COR"
"DA63302","nonHR",13.2321605682373,-5.62704086303711,-4.80783939361572,"COR"
"DA63304","nonHR",-6.80861473083496,-2.62892031669617,5.47228384017944,"COR"
"DA63306","nonHR",-5.63592672348022,-1.82808804512024,1.0592178106308,"COR"
